"index","obj","pred","sub","val"
"s-17049","disease-DS001846","hasIndication","drug-DB04891","1.0"
"s-20541","drug-DB06794","hasCommonIndication","drug-DB00840","1.0"
"s-03931","drug-DB02831","hasCommonProducer","drug-DB08394","0.0"
"s-15981","disease-DS007127","hasIndication","drug-DB00610","1.0"
"s-20328","drug-DB13928","hasCommonIndication","drug-DB00860","1.0"
"s-03718","drug-DB06422","hasCommonProducer","drug-DB06683","0.0"
"s-15768","disease-DS002884","hasIndication","drug-DB05832","1.0"
"s-02235","drug-DB00117","hasCommonProducer","drug-DB00142","1.0"
"s-14285","drug-DB09567","hasSameState","drug-DB08153","0.0"
"s-00954","drug-DB10417","hasCommonProducer","drug-DB10418","1.0"
"s-08937","drug-DB02828","interactsWith","drug-DB08901","0.0"
"s-07454","drug-DB13174","interactsWith","drug-DB00442","1.0"
"s-24064","drug-DB00161","hasCommonIndication","drug-DB05139","0.0"
"s-13614","drug-DB03756","hasSameState","drug-DB10676","0.0"
"s-10733","drug-DB03310","hasSameState","drug-DB09089","1.0"
"s-22783","drug-DB00950","hasCommonIndication","drug-DB09473","0.0"
"s-12131","drug-DB07802","hasSameState","drug-DB04814","1.0"
"s-04690","drug-DB14572","hasCommonProducer","drug-DB14030","0.0"
"s-21087","drug-DB00065","hasCommonIndication","drug-DB05855","1.0"
"s-04477","drug-DB14163","hasCommonProducer","drug-DB14593","0.0"
"s-18833","disease-DS007808","hasIndication","drug-DB09398","0.0"
"s-05300","drug-DB00418","interactsWith","drug-DB09121","1.0"
"s-17350","disease-DS004103","hasIndication","drug-DB00544","1.0"
"s-17137","disease-DS000576","hasIndication","drug-DB09479","1.0"
"s-09696","drug-DB13950","interactsWith","drug-DB00613","0.0"
"s-20416","drug-DB06794","hasCommonIndication","drug-DB00249","1.0"
"s-03806","drug-DB02543","hasCommonProducer","drug-DB07014","0.0"
"s-15856","disease-DS004618","hasIndication","drug-DB00299","1.0"
"s-02323","drug-DB01373","hasCommonProducer","drug-DB00169","1.0"
"s-14373","drug-DB12225","hasSameState","drug-DB10648","0.0"
"s-11492","drug-DB08395","hasSameState","drug-DB07235","1.0"
"s-11279","drug-DB09173","hasSameState","drug-DB02269","1.0"
"s-12879","drug-DB12391","hasSameState","drug-DB00216","0.0"
"s-00829","drug-DB00852","hasCommonProducer","drug-DB09555","1.0"
"s-24152","drug-DB02448","hasCommonIndication","drug-DB00241","0.0"
"s-07542","drug-DB14165","interactsWith","drug-DB00080","0.0"
"s-19592","disease-DS009664","hasIndication","drug-DB00171","0.0"
"s-07329","drug-DB14003","interactsWith","drug-DB00318","1.0"
"s-19379","disease-DS006818","hasIndication","drug-DB03871","0.0"
"s-13702","drug-DB09567","hasSameState","drug-DB13160","0.0"
"s-10821","drug-DB04489","hasSameState","drug-DB14518","1.0"
"s-22871","drug-DB04729","hasCommonIndication","drug-DB12213","0.0"
"s-10608","drug-DB08644","hasSameState","drug-DB04575","1.0"
"s-22658","drug-DB07156","hasCommonIndication","drug-DB07892","0.0"
"s-12006","drug-DB04999","hasSameState","drug-DB02227","1.0"
"s-21175","drug-DB01229","hasCommonIndication","drug-DB00286","1.0"
"s-04565","drug-DB01486","hasCommonProducer","drug-DB04426","0.0"
"s-18921","disease-DS004004","hasIndication","drug-DB10349","0.0"
"s-03082","drug-DB11721","hasCommonProducer","drug-DB11266","0.0"
"s-18708","disease-DS006642","hasIndication","drug-DB01213","0.0"
"s-17225","disease-DS004050","hasIndication","drug-DB01131","1.0"
"s-01588","drug-DB00318","hasCommonProducer","drug-DB08936","1.0"
"s-09784","drug-DB14165","interactsWith","drug-DB08955","0.0"
"s-20504","drug-DB06248","hasCommonIndication","drug-DB01409","1.0"
"s-15944","disease-DS000194","hasIndication","drug-DB04997","1.0"
"s-08088","drug-DB02828","interactsWith","drug-DB01553","0.0"
"s-02411","drug-DB10818","hasCommonProducer","drug-DB10823","1.0"
"s-14461","drug-DB12412","hasSameState","drug-DB04336","0.0"
"s-11580","drug-DB02163","hasSameState","drug-DB07269","1.0"
"s-14248","drug-DB10979","hasSameState","drug-DB02621","0.0"
"s-11367","drug-DB08883","hasSameState","drug-DB02093","1.0"
"s-12967","drug-DB00094","hasSameState","drug-DB13764","0.0"
"s-00917","drug-DB11093","hasCommonProducer","drug-DB11933","1.0"
"s-24240","drug-DB07748","hasCommonIndication","drug-DB03947","0.0"
"s-07630","drug-DB13950","interactsWith","drug-DB14646","0.0"
"s-19680","disease-DS005187","hasIndication","drug-DB03499","0.0"
"s-24027","drug-DB01209","hasCommonIndication","drug-DB00755","0.0"
"s-07417","drug-DB01193","interactsWith","drug-DB04348","1.0"
"s-19467","disease-DS002517","hasIndication","drug-DB14547","0.0"
"s-22746","drug-DB14719","hasCommonIndication","drug-DB07893","0.0"
"s-21263","drug-DB09035","hasCommonIndication","drug-DB04879","1.0"
"s-04653","drug-DB03955","hasCommonProducer","drug-DB05219","0.0"
"s-03170","drug-DB12386","hasCommonProducer","drug-DB14034","0.0"
"s-17313","disease-DS008632","hasIndication","drug-DB06365","1.0"
"s-09872","drug-DB14165","interactsWith","drug-DB01363","0.0"
"s-01676","drug-DB10425","hasCommonProducer","drug-DB10401","1.0"
"s-09659","drug-DB14165","interactsWith","drug-DB06797","0.0"
"s-00193","drug-DB10428","hasCommonProducer","drug-DB10809","1.0"
"s-15819","disease-DS005145","hasIndication","drug-DB11327","1.0"
"s-08176","drug-DB13950","interactsWith","drug-DB09163","0.0"
"s-24988","drug-DB03686","hasCommonIndication","drug-DB11032","0.0"
"s-14336","drug-DB12382","hasSameState","drug-DB01625","0.0"
"s-11455","drug-DB03897","hasSameState","drug-DB00266","1.0"
"s-06895","drug-DB00533","interactsWith","drug-DB01195","1.0"
"s-05199","drug-DB06458","interactsWith","drug-DB00207","1.0"
"s-24115","drug-DB02727","hasCommonIndication","drug-DB12844","0.0"
"s-07505","drug-DB02828","interactsWith","drug-DB00865","0.0"
"s-19555","disease-DS008932","hasIndication","drug-DB11088","0.0"
"s-06022","drug-DB09308","interactsWith","drug-DB06479","1.0"
"s-18072","disease-DS008287","hasIndication","drug-DB02910","0.0"
"s-22834","drug-DB09111","hasCommonIndication","drug-DB02790","0.0"
"s-04741","drug-DB11147","hasCommonProducer","drug-DB04395","0.0"
"s-21351","drug-DB06582","hasCommonIndication","drug-DB05049","1.0"
"s-16791","disease-DS001197","hasIndication","drug-DB04856","1.0"
"s-21138","drug-DB01110","hasCommonIndication","drug-DB01127","1.0"
"s-04528","drug-DB06641","hasCommonProducer","drug-DB13135","0.0"
"s-16578","disease-DS001952","hasIndication","drug-DB04946","1.0"
"s-03045","drug-DB04528","hasCommonProducer","drug-DB07804","0.0"
"s-15095","disease-DS002756","hasIndication","drug-DB13144","1.0"
"s-17401","disease-DS007127","hasIndication","drug-DB05791","1.0"
"s-09960","drug-DB06812","interactsWith","drug-DB13209","0.0"
"s-01764","drug-DB00297","hasCommonProducer","drug-DB14155","1.0"
"s-09747","drug-DB00799","interactsWith","drug-DB11577","0.0"
"s-00281","drug-DB14275","hasCommonProducer","drug-DB14274","1.0"
"s-15907","disease-DS003268","hasIndication","drug-DB05714","1.0"
"s-08264","drug-DB08355","interactsWith","drug-DB11770","0.0"
"s-00068","drug-DB10929","hasCommonProducer","drug-DB10472","1.0"
"s-14424","drug-DB13857","hasSameState","drug-DB06494","0.0"
"s-11543","drug-DB10666","hasSameState","drug-DB08148","1.0"
"s-23593","drug-DB07240","hasCommonIndication","drug-DB00113","0.0"
"s-06983","drug-DB06674","interactsWith","drug-DB02806","1.0"
"s-10060","drug-DB09488","hasSameState","drug-DB06838","1.0"
"s-05287","drug-DB04573","interactsWith","drug-DB04881","1.0"
"s-24203","drug-DB07281","hasCommonIndication","drug-DB02197","0.0"
"s-19643","disease-DS003291","hasIndication","drug-DB03479","0.0"
"s-06110","drug-DB00777","interactsWith","drug-DB09295","1.0"
"s-18160","disease-DS011502","hasIndication","drug-DB05652","0.0"
"s-22922","drug-DB05542","hasCommonIndication","drug-DB14508","0.0"
"s-22709","drug-DB00963","hasCommonIndication","drug-DB11178","0.0"
"s-21226","drug-DB05849","hasCommonIndication","drug-DB00901","1.0"
"s-04616","drug-DB10770","hasCommonProducer","drug-DB10793","0.0"
"s-16666","disease-DS002984","hasIndication","drug-DB04846","1.0"
"s-03133","drug-DB07532","hasCommonProducer","drug-DB07742","0.0"
"s-15183","disease-DS003062","hasIndication","drug-DB01247","1.0"
"s-01852","drug-DB00125","hasCommonProducer","drug-DB11102","1.0"
"s-09835","drug-DB02990","interactsWith","drug-DB00734","0.0"
"s-13689","drug-DB09526","hasSameState","drug-DB08312","0.0"
"s-01639","drug-DB00494","hasCommonProducer","drug-DB01235","1.0"
"s-08352","drug-DB13950","interactsWith","drug-DB00689","0.0"
"s-00156","drug-DB10388","hasCommonProducer","drug-DB10873","1.0"
"s-08139","drug-DB02990","interactsWith","drug-DB01137","0.0"
"s-14512","drug-DB11032","hasSameState","drug-DB10615","0.0"
"s-11631","drug-DB03989","hasSameState","drug-DB07830","1.0"
"s-23681","drug-DB14105","hasCommonIndication","drug-DB08964","0.0"
"s-11418","drug-DB13831","hasSameState","drug-DB04644","1.0"
"s-23468","drug-DB01659","hasCommonIndication","drug-DB07196","0.0"
"s-06858","drug-DB04348","interactsWith","drug-DB00181","1.0"
"s-05375","drug-DB01337","interactsWith","drug-DB06527","1.0"
"s-19731","disease-DS004654","hasIndication","drug-DB08092","0.0"
"s-19518","disease-DS009961","hasIndication","drug-DB07557","0.0"
"s-18035","disease-DS003889","hasIndication","drug-DB02884","0.0"
"s-02398","drug-DB10461","hasCommonProducer","drug-DB10398","1.0"
"s-21314","drug-DB01247","hasCommonIndication","drug-DB00734","1.0"
"s-04704","drug-DB02059","hasCommonProducer","drug-DB03667","0.0"
"s-16754","disease-DS000737","hasIndication","drug-DB11979","1.0"
"s-03221","drug-DB07559","hasCommonProducer","drug-DB07869","0.0"
"s-15271","disease-DS004128","hasIndication","drug-DB05470","1.0"
"s-03008","drug-DB06717","hasCommonProducer","drug-DB14175","0.0"
"s-15058","disease-DS002174","hasIndication","drug-DB00030","1.0"
"s-01940","drug-DB01188","hasCommonProducer","drug-DB00857","1.0"
"s-09923","drug-DB04783","interactsWith","drug-DB11742","0.0"
"s-13990","drug-DB06681","hasSameState","drug-DB11861","0.0"
"s-13777","drug-DB11077","hasSameState","drug-DB14726","0.0"
"s-01727","drug-DB09449","hasCommonProducer","drug-DB00173","1.0"
"s-08440","drug-DB06812","interactsWith","drug-DB04829","0.0"
"s-10896","drug-DB05920","hasSameState","drug-DB06435","1.0"
"s-00244","drug-DB00475","hasCommonProducer","drug-DB00321","1.0"
"s-08227","drug-DB00799","interactsWith","drug-DB00222","0.0"
"s-12294","drug-DB06688","hasSameState","drug-DB00674","1.0"
"s-14600","drug-DB01444","hasSameState","drug-DB11686","0.0"
"s-11506","drug-DB04277","hasSameState","drug-DB13995","1.0"
"s-23556","drug-DB06638","hasCommonIndication","drug-DB00026","0.0"
"s-06946","drug-DB14506","interactsWith","drug-DB01424","1.0"
"s-18996","disease-DS010517","hasIndication","drug-DB04526","0.0"
"s-10023","drug-DB06437","hasSameState","drug-DB02099","1.0"
"s-22073","drug-DB00668","hasCommonIndication","drug-DB13139","1.0"
"s-05463","drug-DB00285","interactsWith","drug-DB04263","1.0"
"s-19606","disease-DS009939","hasIndication","drug-DB03404","0.0"
"s-20792","drug-DB04847","hasCommonIndication","drug-DB00115","1.0"
"s-18123","disease-DS001689","hasIndication","drug-DB14430","0.0"
"s-20579","drug-DB00726","hasCommonIndication","drug-DB09224","1.0"
"s-03969","drug-DB04793","hasCommonProducer","drug-DB01009","0.0"
"s-02486","drug-DB11610","hasCommonProducer","drug-DB11609","1.0"
"s-21402","drug-DB05023","hasCommonIndication","drug-DB11569","1.0"
"s-16842","disease-DS004105","hasIndication","drug-DB00675","1.0"
"s-16629","disease-DS011767","hasIndication","drug-DB05708","1.0"
"s-15146","disease-DS004649","hasIndication","drug-DB13960","1.0"
"s-13865","drug-DB12233","hasSameState","drug-DB03893","0.0"
"s-01815","drug-DB10430","hasCommonProducer","drug-DB10428","1.0"
"s-10984","drug-DB10603","hasSameState","drug-DB01414","1.0"
"s-00332","drug-DB10817","hasCommonProducer","drug-DB10820","1.0"
"s-08315","drug-DB08355","interactsWith","drug-DB12212","0.0"
"s-12382","drug-DB07502","hasSameState","drug-DB09338","1.0"
"s-00119","drug-DB04930","hasCommonProducer","drug-DB09350","1.0"
"s-12169","drug-DB01309","hasSameState","drug-DB01306","1.0"
"s-23644","drug-DB08303","hasCommonIndication","drug-DB14383","0.0"
"s-10111","drug-DB07911","hasSameState","drug-DB01337","1.0"
"s-22161","drug-DB06486","hasCommonIndication","drug-DB05296","1.0"
"s-05551","drug-DB06731","interactsWith","drug-DB08872","1.0"
"s-05338","drug-DB09102","interactsWith","drug-DB11431","1.0"
"s-17388","disease-DS000975","hasIndication","drug-DB01138","1.0"
"s-20880","drug-DB05370","hasCommonIndication","drug-DB05511","1.0"
"s-18211","disease-DS007464","hasIndication","drug-DB02314","0.0"
"s-20667","drug-DB01026","hasCommonIndication","drug-DB01127","1.0"
"s-02574","drug-DB07189","hasCommonProducer","drug-DB12994","0.0"
"s-16930","disease-DS001185","hasIndication","drug-DB00425","1.0"
"s-01091","drug-DB10957","hasCommonProducer","drug-DB11031","1.0"
"s-09074","drug-DB14165","interactsWith","drug-DB00186","0.0"
"s-16717","disease-DS003234","hasIndication","drug-DB01430","1.0"
"s-15234","disease-DS005235","hasIndication","drug-DB05098","1.0"
"s-07793","drug-DB13950","interactsWith","drug-DB09137","0.0"
"s-13953","drug-DB12218","hasSameState","drug-DB04057","0.0"
"s-01903","drug-DB00133","hasCommonProducer","drug-DB09567","1.0"
"s-00420","drug-DB14331","hasCommonProducer","drug-DB11482","1.0"
"s-06097","drug-DB00651","interactsWith","drug-DB13203","1.0"
"s-08403","drug-DB14165","interactsWith","drug-DB01342","0.0"
"s-12470","drug-DB09418","hasSameState","drug-DB10707","1.0"
"s-10859","drug-DB10618","hasSameState","drug-DB08011","1.0"
"s-00207","drug-DB13196","hasCommonProducer","drug-DB13974","1.0"
"s-12257","drug-DB08294","hasSameState","drug-DB01055","1.0"
"s-23732","drug-DB05873","hasCommonIndication","drug-DB02689","0.0"
"s-23519","drug-DB02901","hasCommonIndication","drug-DB08382","0.0"
"s-06909","drug-DB00593","interactsWith","drug-DB00427","1.0"
"s-18959","disease-DS001890","hasIndication","drug-DB02624","0.0"
"s-22036","drug-DB00566","hasCommonIndication","drug-DB06782","1.0"
"s-05426","drug-DB11827","interactsWith","drug-DB01497","1.0"
"s-17476","disease-DS002835","hasIndication","drug-DB11198","1.0"
"s-20755","drug-DB00091","hasCommonIndication","drug-DB00991","1.0"
"s-02662","drug-DB13163","hasCommonProducer","drug-DB08515","0.0"
"s-14499","drug-DB00107","hasSameState","drug-DB07039","0.0"
"s-02449","drug-DB01428","hasCommonProducer","drug-DB13747","1.0"
"s-09162","drug-DB13950","interactsWith","drug-DB12386","0.0"
"s-16805","disease-DS010888","hasIndication","drug-DB08964","1.0"
"s-15322","disease-DS004478","hasIndication","drug-DB06152","1.0"
"s-24491","drug-DB03439","hasCommonIndication","drug-DB10401","0.0"
"s-15109","disease-DS002603","hasIndication","drug-DB01551","1.0"
"s-07881","drug-DB06812","interactsWith","drug-DB14575","0.0"
"s-24278","drug-DB02287","hasCommonIndication","drug-DB07929","0.0"
"s-07668","drug-DB14165","interactsWith","drug-DB01235","0.0"
"s-13828","drug-DB06719","hasSameState","drug-DB02581","0.0"
"s-06185","drug-DB13667","interactsWith","drug-DB00035","1.0"
"s-10947","drug-DB02404","hasSameState","drug-DB07954","1.0"
"s-22997","drug-DB14593","hasCommonIndication","drug-DB14267","0.0"
"s-12345","drug-DB00895","hasSameState","drug-DB08186","1.0"
"s-23820","drug-DB08893","hasCommonIndication","drug-DB14042","0.0"
"s-23607","drug-DB14554","hasCommonIndication","drug-DB09225","0.0"
"s-22124","drug-DB00743","hasCommonIndication","drug-DB09132","1.0"
"s-05514","drug-DB00266","interactsWith","drug-DB08927","1.0"
"s-17564","disease-DS011919","hasIndication","drug-DB09108","0.0"
"s-04031","drug-DB08116","hasCommonProducer","drug-DB00024","0.0"
"s-16081","disease-DS006316","hasIndication","drug-DB00085","1.0"
"s-20843","drug-DB05186","hasCommonIndication","drug-DB00817","1.0"
"s-02750","drug-DB08807","hasCommonProducer","drug-DB07099","0.0"
"s-02537","drug-DB13857","hasCommonProducer","drug-DB14096","0.0"
"s-14587","drug-DB10885","hasSameState","drug-DB03814","0.0"
"s-09250","drug-DB14165","interactsWith","drug-DB04914","0.0"
"s-01054","drug-DB14110","hasCommonProducer","drug-DB14137","1.0"
"s-09037","drug-DB11661","interactsWith","drug-DB01442","0.0"
"s-15410","disease-DS007481","hasIndication","drug-DB00988","1.0"
"s-24366","drug-DB05550","hasCommonIndication","drug-DB06727","0.0"
"s-07756","drug-DB14165","interactsWith","drug-DB00679","0.0"
"s-13916","drug-DB12401","hasSameState","drug-DB04409","0.0"
"s-06273","drug-DB09217","interactsWith","drug-DB00271","1.0"
"s-12433","drug-DB07116","hasSameState","drug-DB05450","1.0"
"s-04992","drug-DB09265","hasCommonProducer","drug-DB07434","0.0"
"s-21389","drug-DB06465","hasCommonIndication","drug-DB12129","1.0"
"s-04779","drug-DB02755","hasCommonProducer","drug-DB12586","0.0"
"s-03296","drug-DB03436","hasCommonProducer","drug-DB05894","0.0"
"s-22212","drug-DB01200","hasCommonIndication","drug-DB00977","1.0"
"s-05602","drug-DB00978","interactsWith","drug-DB01115","1.0"
"s-17652","disease-DS013415","hasIndication","drug-DB01059","0.0"
"s-17439","disease-DS006086","hasIndication","drug-DB06212","1.0"
"s-09998","drug-DB06812","interactsWith","drug-DB13295","0.0"
"s-20931","drug-DB01004","hasCommonIndication","drug-DB00369","1.0"
"s-20718","drug-DB14533","hasCommonIndication","drug-DB01112","1.0"
"s-02625","drug-DB11560","hasCommonProducer","drug-DB05096","0.0"
"s-14675","drug-DB11027","hasSameState","drug-DB12635","0.0"
"s-11794","drug-DB01366","hasSameState","drug-DB08694","1.0"
"s-01142","drug-DB10365","hasCommonProducer","drug-DB10873","1.0"
"s-09125","drug-DB14165","interactsWith","drug-DB09132","0.0"
"s-13192","drug-DB12227","hasSameState","drug-DB07325","0.0"
"s-10098","drug-DB13889","hasSameState","drug-DB08809","1.0"
"s-24454","drug-DB05171","hasCommonIndication","drug-DB12360","0.0"
"s-07844","drug-DB06812","interactsWith","drug-DB00266","0.0"
"s-19894","disease-DS002766","hasIndication","drug-DB08444","0.0"
"s-06361","drug-DB00844","interactsWith","drug-DB11957","1.0"
"s-06148","drug-DB12131","interactsWith","drug-DB09187","1.0"
"s-18198","disease-DS012094","hasIndication","drug-DB09449","0.0"
"s-12521","drug-DB00727","hasSameState","drug-DB00150","0.0"
"s-12308","drug-DB12076","hasSameState","drug-DB11298","1.0"
"s-21690","drug-DB00327","hasCommonIndication","drug-DB00652","1.0"
"s-19021","disease-DS005343","hasIndication","drug-DB04517","0.0"
"s-21477","drug-DB00501","hasCommonIndication","drug-DB06723","1.0"
"s-04867","drug-DB08513","hasCommonProducer","drug-DB09022","0.0"
"s-03384","drug-DB04763","hasCommonProducer","drug-DB04932","0.0"
"s-22300","drug-DB00763","hasCommonIndication","drug-DB09333","1.0"
"s-17740","disease-DS002754","hasIndication","drug-DB05121","0.0"
"s-17527","disease-DS005660","hasIndication","drug-DB03978","0.0"
"s-16044","disease-DS012321","hasIndication","drug-DB11201","1.0"
"s-20806","drug-DB14568","hasCommonIndication","drug-DB00243","1.0"
"s-14763","drug-DB12375","hasSameState","drug-DB06987","0.0"
"s-02713","drug-DB13255","hasCommonProducer","drug-DB02510","0.0"
"s-11882","drug-DB03409","hasSameState","drug-DB06964","1.0"
"s-01230","drug-DB09490","hasCommonProducer","drug-DB11835","1.0"
"s-09213","drug-DB11661","interactsWith","drug-DB00717","0.0"
"s-13280","drug-DB11324","hasSameState","drug-DB03207","0.0"
"s-11669","drug-DB04511","hasSameState","drug-DB07717","1.0"
"s-01017","drug-DB01221","hasCommonProducer","drug-DB00829","1.0"
"s-13067","drug-DB13858","hasSameState","drug-DB11619","0.0"
"s-10186","drug-DB02301","hasSameState","drug-DB00785","1.0"
"s-24542","drug-DB02353","hasCommonIndication","drug-DB14009","0.0"
"s-07932","drug-DB13950","interactsWith","drug-DB00260","0.0"
"s-19982","disease-DS002274","hasIndication","drug-DB00381","0.0"
"s-24329","drug-DB07115","hasCommonIndication","drug-DB03937","0.0"
"s-07719","drug-DB14165","interactsWith","drug-DB12568","0.0"
"s-19769","disease-DS008723","hasIndication","drug-DB07209","0.0"
"s-06236","drug-DB14050","interactsWith","drug-DB04165","1.0"
"s-18286","disease-DS012458","hasIndication","drug-DB14391","0.0"
"s-21565","drug-DB09398","hasCommonIndication","drug-DB13783","1.0"
"s-04955","drug-DB14322","hasCommonProducer","drug-DB00621","0.0"
"s-20082","drug-DB05452","hasCommonIndication","drug-DB00715","1.0"
"s-03472","drug-DB10633","hasCommonProducer","drug-DB01428","0.0"
"s-03259","drug-DB06588","hasCommonProducer","drug-DB14304","0.0"
"s-17615","disease-DS005207","hasIndication","drug-DB14060","0.0"
"s-16132","disease-DS002132","hasIndication","drug-DB01127","1.0"
"s-01978","drug-DB00166","hasCommonProducer","drug-DB03614","1.0"
"s-08691","drug-DB02828","interactsWith","drug-DB09038","0.0"
"s-14851","drug-DB03756","hasSameState","drug-DB14348","0.0"
"s-00495","drug-DB10831","hasCommonProducer","drug-DB10452","1.0"
"s-08478","drug-DB06812","interactsWith","drug-DB00338","0.0"
"s-02801","drug-DB13514","hasCommonProducer","drug-DB06406","0.0"
"s-11970","drug-DB03551","hasSameState","drug-DB11815","1.0"
"s-14638","drug-DB10924","hasSameState","drug-DB01037","0.0"
"s-09301","drug-DB06812","interactsWith","drug-DB01208","0.0"
"s-11757","drug-DB11479","hasSameState","drug-DB00338","1.0"
"s-01105","drug-DB10581","hasCommonProducer","drug-DB10696","1.0"
"s-13155","drug-DB05257","hasSameState","drug-DB06979","0.0"
"s-10274","drug-DB11801","hasSameState","drug-DB14633","1.0"
"s-24630","drug-DB12711","hasCommonIndication","drug-DB05649","0.0"
"s-24417","drug-DB10879","hasCommonIndication","drug-DB07097","0.0"
"s-07807","drug-DB11661","interactsWith","drug-DB01589","0.0"
"s-19857","disease-DS006747","hasIndication","drug-DB05420","0.0"
"s-06324","drug-DB00839","interactsWith","drug-DB09220","1.0"
"s-18374","disease-DS011584","hasIndication","drug-DB14068","0.0"
"s-21653","drug-DB04900","hasCommonIndication","drug-DB05258","1.0"
"s-20170","drug-DB01231","hasCommonIndication","drug-DB01578","1.0"
"s-03560","drug-DB14556","hasCommonProducer","drug-DB10846","0.0"
"s-03347","drug-DB07504","hasCommonProducer","drug-DB05168","0.0"
"s-15397","disease-DS004632","hasIndication","drug-DB05298","1.0"
"s-17703","disease-DS002843","hasIndication","drug-DB00105","0.0"
"s-16220","disease-DS002840","hasIndication","drug-DB09488","1.0"
"s-16007","disease-DS000107","hasIndication","drug-DB05723","1.0"
"s-00583","drug-DB11827","hasCommonProducer","drug-DB01261","1.0"
"s-08566","drug-DB14165","interactsWith","drug-DB01035","0.0"
"s-14726","drug-DB10825","hasSameState","drug-DB07358","0.0"
"s-07083","drug-DB00873","interactsWith","drug-DB01233","1.0"
"s-11845","drug-DB06998","hasSameState","drug-DB07151","1.0"
"s-23895","drug-DB12001","hasCommonIndication","drug-DB06486","0.0"
"s-13243","drug-DB05084","hasSameState","drug-DB06754","0.0"
"s-10362","drug-DB08160","hasSameState","drug-DB07001","1.0"
"s-10149","drug-DB13233","hasSameState","drug-DB01590","1.0"
"s-05589","drug-DB00331","interactsWith","drug-DB00834","1.0"
"s-22199","drug-DB09089","hasCommonIndication","drug-DB00403","1.0"
"s-24505","drug-DB05778","hasCommonIndication","drug-DB00121","0.0"
"s-19945","disease-DS013652","hasIndication","drug-DB00765","0.0"
"s-23022","drug-DB14397","hasCommonIndication","drug-DB02869","0.0"
"s-06412","drug-DB00035","interactsWith","drug-DB00813","1.0"
"s-18462","disease-DS011841","hasIndication","drug-DB01093","0.0"
"s-18249","disease-DS004119","hasIndication","drug-DB12006","0.0"
"s-21741","drug-DB11074","hasCommonIndication","drug-DB08823","1.0"
"s-21528","drug-DB05037","hasCommonIndication","drug-DB06399","1.0"
"s-04918","drug-DB05518","hasCommonProducer","drug-DB04466","0.0"
